DATE,unemployment_rate
1975-06-01,9.23193751356042
1975-07-01,8.78095954440445
1975-08-01,8.26775478480521
1975-09-01,8.23184458769396
1975-10-01,7.86333937897428
1975-11-01,7.87694536514696
1975-12-01,7.8172321467761
1976-01-01,8.89242765361595
1976-02-01,8.73633063145079
1976-03-01,8.1419624217119
1976-04-01,7.46906930434499
1976-05-01,6.82521919579318
1976-06-01,8.06357862253363
1976-07-01,7.88652097190172
1976-08-01,7.67084198820839
1976-09-01,7.50952197543544
1976-10-01,7.25449751201463
1976-11-01,7.51319268217581
1976-12-01,7.47558266821124
1977-01-01,8.36437992463172
1977-02-01,8.565741292685
1977-03-01,7.9559298691668
1977-04-01,6.93914738537164
1977-05-01,6.47450905946128
1977-06-01,7.6230571933661
1977-07-01,7.09058665253374
1977-08-01,6.91838673107759
1977-09-01,6.68769650621038
1977-10-01,6.4044585003039
1977-11-01,6.50746084850475
1977-12-01,6.0587036617747
1978-01-01,7.13783185382912
1978-02-01,6.98886911904663
1978-03-01,6.6647455952577
1978-04-01,5.83263237798248
1978-05-01,5.57466395860337
1978-06-01,6.29791623275512
1978-07-01,6.38029432347984
1978-08-01,5.9269824290327
1978-09-01,5.85874396716936
1978-10-01,5.50446833311747
1978-11-01,5.67646912474499
1978-12-01,5.7667612363745
1979-01-01,6.50164420917549
1979-02-01,6.50792381942085
1979-03-01,6.15670899176054
1979-04-01,5.60325440534138
1979-05-01,5.29342009546492
1979-06-01,6.12898218928253
1979-07-01,5.95220937941372
1979-08-01,6.00769572867722
1979-09-01,5.73660823282387
1979-10-01,5.69502195624296
1979-11-01,5.72905511964331
1979-12-01,5.77339614394638
1980-01-01,6.96425952183054
1980-02-01,6.90285379202502
1980-03-01,6.72990592184877
1980-04-01,6.75321128656283
1980-05-01,7.18080465341735
1980-06-01,7.97310004844271
1980-07-01,7.99984945002211
1980-08-01,7.69011704622044
1980-09-01,7.28250620586141
1980-10-01,7.25528822246873
1980-11-01,7.26642604807904
1980-12-01,7.07027983119767
1981-01-01,8.31546044722289
1981-02-01,8.17279963086861
1981-03-01,7.81081158616469
1981-04-01,7.1148395224325
1981-05-01,7.23332448522999
1981-06-01,7.85229559601254
1981-07-01,7.46802071923212
1981-08-01,7.34221657811435
1981-09-01,7.41476300885628
1981-10-01,7.63395465425281
1981-11-01,8.0887548876431
1981-12-01,8.44812884888678
1982-01-01,9.60607300158864
1982-02-01,9.76070289965083
1982-03-01,9.62851576538236
1982-04-01,9.29676272596626
1982-05-01,9.21847629574813
1982-06-01,9.9666304087314
1982-07-01,10.0009132420091
1982-08-01,9.72965529903153
1982-09-01,9.84734245555245
1982-10-01,10.0408580183861
1982-11-01,10.5238258675547
1982-12-01,10.7105309676879
1983-01-01,11.5918023582257
1983-02-01,11.4859354935465
1983-03-01,11.0230102413361
1983-04-01,10.2141680395387
1983-05-01,9.92841029847686
1983-06-01,10.3797766445968
1983-07-01,9.54865805079399
1983-08-01,9.31839351763929
1983-09-01,8.89702575961971
1983-10-01,8.53211599048415
1983-11-01,8.27823375670595
1983-12-01,8.16814167424848
1984-01-01,8.92619311875694
1984-02-01,8.58473169832196
1984-03-01,8.22397120002939
1984-04-01,7.70639345913332
1984-05-01,7.29257325210328
1984-06-01,7.54413554744072
1984-07-01,7.62190547636909
1984-08-01,7.38189239530511
1984-09-01,7.1784457080964
1984-10-01,7.09106937248129
1984-11-01,6.98530073226462
1984-12-01,7.11233458379438
1985-01-01,8.15203642802934
1985-02-01,7.95998338660455
1985-03-01,7.64342643785453
1985-04-01,7.22718498900211
1985-05-01,7.08150291081824
1985-06-01,7.62053013913074
1985-07-01,7.48410836828475
1985-08-01,6.99265687583445
1985-09-01,7.00280856568234
1985-10-01,6.89919949162864
1985-11-01,6.81978861041394
1985-12-01,6.76608451403103
1986-01-01,7.44797176562625
1986-02-01,7.91815893053438
1986-03-01,7.54300643441574
1986-04-01,7.09368214796378
1986-05-01,7.07766956278027
1986-06-01,7.44769371981505
1986-07-01,7.1538848656994
1986-08-01,6.7586822543819
1986-09-01,6.87891784889475
1986-10-01,6.69283170234102
1986-11-01,6.72935517915535
1986-12-01,6.42060712454483
1987-01-01,7.44428763089575
1987-02-01,7.31893884079135
1987-03-01,6.96346932933124
1987-04-01,6.27910001300559
1987-05-01,6.22239754397098
1987-06-01,6.44330115355602
1987-07-01,6.20648481383068
1987-08-01,5.9114090786274
1987-09-01,5.8002313922098
1987-10-01,5.75818189556114
1987-11-01,5.71148686059883
1987-12-01,5.50697881142252
1988-01-01,6.43310463121784
1988-02-01,6.3311521463565
1988-03-01,6.00207381762402
1988-04-01,5.37781501684308
1988-05-01,5.4926820966644
1988-06-01,5.62225842837448
1988-07-01,5.57383571067441
1988-08-01,5.47333216861757
1988-09-01,5.31275043232528
1988-10-01,5.12803285434741
1988-11-01,5.22716210999782
1988-12-01,5.09573446946096
1989-01-01,6.08634886422954
1989-02-01,5.70317508519756
1989-03-01,5.30863157894737
1989-04-01,5.15116640485211
1989-05-01,5.07760587748552
1989-06-01,5.54181544206768
1989-07-01,5.41610333762278
1989-08-01,5.13748843000254
1989-09-01,5.18859306748161
1989-10-01,5.06205607785743
1989-11-01,5.26493724953411
1989-12-01,5.14877273896129
1990-01-01,6.02960257183706
1990-02-01,5.9237362310703
1990-03-01,5.55431906422336
1990-04-01,5.36818669085512
1990-05-01,5.25540033736755
1990-06-01,5.50080312532791
1990-07-01,5.65350324604977
1990-08-01,5.56561671301986
1990-09-01,5.65216680026829
1990-10-01,5.53308763575878
1990-11-01,5.95751281800072
1990-12-01,6.07760559349062
1991-01-01,7.15297683766598
1991-02-01,7.38911398022666
1991-03-01,7.28018372703412
1991-04-01,6.6581505228421
1991-05-01,6.79556114861
1991-06-01,7.12514942676283
1991-07-01,6.93892562181696
1991-08-01,6.72477804681194
1991-09-01,6.62767714069579
1991-10-01,6.60293138989433
1991-11-01,6.80337325122272
1991-12-01,7.0296409062416
1992-01-01,8.17935933783035
1992-02-01,8.34159743785664
1992-03-01,7.94675664933527
1992-04-01,7.28773164286062
1992-05-01,7.42946355281582
1992-06-01,8.05979337505821
1992-07-01,7.81078366757681
1992-08-01,7.50154401634282
1992-09-01,7.37545204512834
1992-10-01,6.98238540068595
1992-11-01,7.19729179033837
1992-12-01,7.17708341694023
1993-01-01,8.09909749915239
1993-02-01,7.95125482625483
1993-03-01,7.52863499815258
1993-04-01,7.03904773394458
1993-05-01,6.94237525792908
1993-06-01,7.33574697511128
1993-07-01,7.12351219512195
1993-08-01,6.70090121262641
1993-09-01,6.5256209942285
1993-10-01,6.50134420327208
1993-11-01,6.33984285181926
1993-12-01,6.21880480237421
1994-01-01,7.42558089517998
1994-02-01,7.22455491439593
1994-03-01,6.9309603003866
1994-04-01,6.30757989707097
1994-05-01,5.92312489638676
1994-06-01,6.32212588110536
1994-07-01,6.28037672958412
1994-08-01,5.98160225380173
1994-09-01,5.68664890816655
1994-10-01,5.46190260440264
1994-11-01,5.3241627261714
1994-12-01,5.15704550795018
1995-01-01,6.24487866372518
1995-02-01,5.91469641033697
1995-03-01,5.75357492654261
1995-04-01,5.67763132162553
1995-05-01,5.49744359491533
1995-06-01,5.84379530522225
1995-07-01,5.91133758741526
1995-08-01,5.61538580223103
1995-09-01,5.44504330487881
1995-10-01,5.2165682676866
1995-11-01,5.33182076006807
1995-12-01,5.27444588292181
1996-01-01,6.34122658648124
1996-02-01,6.01851490785441
1996-03-01,5.88417875239581
1996-04-01,5.43739999067874
1996-05-01,5.40865662664538
1996-06-01,5.52072461891231
1996-07-01,5.69884438003366
1996-08-01,5.11654132473846
1996-09-01,5.0351602340437
1996-10-01,4.90595396091712
1996-11-01,5.10700983086035
1996-12-01,5.01500214316331
1997-01-01,5.96654317862813
1997-02-01,5.74520977550006
1997-03-01,5.51903390307111
1997-04-01,4.9182574794216
1997-05-01,4.75259528680761
1997-06-01,5.21757340952267
1997-07-01,5.09404097526176
1997-08-01,4.80894339340462
1997-09-01,4.72701203637324
1997-10-01,4.42827771627392
1997-11-01,4.36728859464339
1997-12-01,4.41053464451226
1998-01-01,5.26355621145041
1998-02-01,5.0543531559532
1998-03-01,5.01941229921224
1998-04-01,4.17823305775149
1998-05-01,4.24178791060447
1998-06-01,4.76768633954218
1998-07-01,4.74436661819953
1998-08-01,4.4911535634471
1998-09-01,4.40931718275381
1998-10-01,4.2455920895878
1998-11-01,4.1478668751396
1998-12-01,4.0379746835443
1999-01-01,4.82761191248276
1999-02-01,4.79493343057654
1999-03-01,4.45814859999405
1999-04-01,4.15654842602387
1999-05-01,3.99922892137964
1999-06-01,4.48332662249716
1999-07-01,4.50480678055114
1999-08-01,4.19121644455546
1999-09-01,4.08812946977212
1999-10-01,3.87271266756576
1999-11-01,3.8748334572436
1999-12-01,3.78494560336832
2000-01-01,4.50406409152597
2000-02-01,4.45578750663496
2000-03-01,4.28442791994655
2000-04-01,3.6972546288235
2000-05-01,3.8679889071189
2000-06-01,4.17970064209479
2000-07-01,4.22277936962751
2000-08-01,4.13816443209148
2000-09-01,3.77831010452962
2000-10-01,3.64500448482393
2000-11-01,3.77012357627278
2000-12-01,3.70821501160394
2001-01-01,4.71358830666128
2001-02-01,4.61914231367802
2001-03-01,4.57508831385163
2001-04-01,4.26803766891161
2001-05-01,4.19613695844959
2001-06-01,4.77717902660166
2001-07-01,4.76420454545455
2001-08-01,4.94006929151932
2001-09-01,4.76252075113727
2001-10-01,5.04039050124361
2001-11-01,5.34129093735894
2001-12-01,5.44262530003941
2002-01-01,6.4003860253077
2002-02-01,6.19708843381764
2002-03-01,6.16804933296176
2002-04-01,5.7975372279496
2002-05-01,5.57992028685304
2002-06-01,6.07776599505126
2002-07-01,6.0252185632334
2002-08-01,5.74037186948416
2002-09-01,5.40707807220345
2002-10-01,5.38585608822004
2002-11-01,5.71575035242855
2002-12-01,5.72556058922415
2003-01-01,6.52794081030128
2003-02-01,6.41766258835552
2003-03-01,6.24960097610113
2003-04-01,5.91365091960212
2003-05-01,5.8984269917456
2003-06-01,6.5999902356691
2003-07-01,6.38868517548455
2003-08-01,6.06260898914328
2003-09-01,5.84609505477397
2003-10-01,5.65109872689996
2003-11-01,5.68658354676198
2003-12-01,5.49675560796165
2004-01-01,6.34178810666893
2004-02-01,6.0856450996219
2004-03-01,6.09706102715616
2004-04-01,5.42323739480942
2004-05-01,5.39745263380729
2004-06-01,5.8755069898393
2004-07-01,5.77706918064606
2004-08-01,5.40149657297365
2004-09-01,5.1885796342442
2004-10-01,5.15619092958456
2004-11-01,5.21525954070515
2004-12-01,5.2161371178917
2005-01-01,5.79663257986018
2005-02-01,5.83939045267028
2005-03-01,5.46710134258772
2005-04-01,5.00475577687014
2005-05-01,4.97324936606571
2005-06-01,5.29079382579934
2005-07-01,5.24580047994515
2005-08-01,4.92245819904691
2005-09-01,4.89102204492094
2005-10-01,4.67380115100558
2005-11-01,4.90468858955682
2005-12-01,4.71790186265756
2006-01-01,5.16664463752791
2006-02-01,5.22059994323177
2006-03-01,4.91151940630593
2006-04-01,4.59347599273114
2006-05-01,4.51471155435561
2006-06-01,4.88253916493431
2006-07-01,5.02365823982696
2006-08-01,4.68670298504417
2006-09-01,4.41755517664058
2006-10-01,4.16396729383043
2006-11-01,4.35149806229269
2006-12-01,4.33435267355459
2007-01-01,5.08032526098029
2007-02-01,4.94782947378491
2007-03-01,4.59301730316371
2007-04-01,4.34812375481813
2007-05-01,4.32112245455042
2007-06-01,4.77852258564355
2007-07-01,4.90449321355009
2007-08-01,4.67673143321373
2007-09-01,4.59157375003391
2007-10-01,4.46772892705375
2007-11-01,4.53504475595339
2007-12-01,4.85645236628509
2008-01-01,5.43072691124002
2008-02-01,5.2707729056475
2008-03-01,5.274968888768
2008-04-01,4.80983046928658
2008-05-01,5.32681263824347
2008-06-01,5.82186511095798
2008-07-01,6.10271661576624
2008-08-01,6.16119787646731
2008-09-01,6.00722704400392
2008-10-01,6.19199213886215
2008-11-01,6.55778640121478
2008-12-01,7.21441124780316
2009-01-01,8.59931129289107
2009-02-01,8.99975577324903
2009-03-01,9.16263784018686
2009-04-01,8.73443307919798
2009-05-01,9.18372179560908
2009-06-01,9.80582264600078
2009-07-01,9.8451578455583
2009-08-01,9.6919031888357
2009-09-01,9.58871483593506
2009-10-01,9.61526682229316
2009-11-01,9.5417455625332
2009-12-01,9.76640346251566
2010-01-01,10.6995378346597
2010-02-01,10.5652547809825
2010-03-01,10.3523569825182
2010-04-01,9.64961105605409
2010-05-01,9.49491792586151
2010-06-01,9.79456906729634
2010-07-01,9.85522261541152
2010-08-01,9.64462200950469
2010-09-01,9.32311795765064
2010-10-01,9.18880261544749
2010-11-01,9.40598104368668
2010-12-01,9.24233621544035
2011-01-01,9.9274222896654
2011-02-01,9.68787333672054
